Organism,Condition,rootFolder,trackFolder,trackFile,Tmin,Tmax,Averaging window,Chamber depth,Postprocessed,Pixelpermm
Starfish,Upward swimming,G:\HopkinsEmbroyologyCourse_GoodData\2018_06_12\Starfish,StarFish6,track_mod.csv,0,600,20,4,FALSE,None
Starfish,Upward swimming,G:\HopkinsEmbroyologyCourse_GoodData\2018_06_12\Starfish,StarFish7,track_mod.csv,60,0,20,4,FALSE,None
Starfish,Upward swimming,G:\HopkinsEmbroyologyCourse_GoodData\2018_06_12\Starfish,StarFish9,track_mod.csv,0,290,20,4,FALSE,None
Brittlestar,Active sinking,G:\HopkinsEmbroyologyCourse_GoodData\BrittleStar,BrittleStar9_Long_Good_Ytracking,track_mod.csv,0,0,20,4,FALSE,None
Sea cucumber,Upward swimming,G:\HopkinsEmbroyologyCourse_GoodData\2018_06_07\SeaCucumber,seacucmber4_auto_verylong_goodtrack,track_mod.csv,0,0,20,4,FALSE,None
Sea cucumber,Upward swimming,G:\HopkinsEmbroyologyCourse_GoodData\2018_06_07\SeaCucumber,seacucmber9_Auto,track_mod.csv,0,115,20,4,FALSE,None
Snail,Active sinking,G:\HopkinsEmbroyologyCourse_GoodData\2018_06_13\Snail,snail1,track_mod.csv,150,575,5,4,FALSE,None
Snail,Upward swimming,G:\HopkinsEmbroyologyCourse_GoodData\2018_06_13\Snail,snail13,track_mod.csv,0,600,10,4,FALSE,None
Stentor,Downward swimming,F:\GravitMachineTracks_Oct2019\Stentor_18_10_2019,track2,track000.csv,0,30,5,5,FALSE,None
Stentor,Downward swimming,F:\GravitMachineTracks_Oct2019\Stentor_18_10_2019,track3,track000.csv,0,15,5,5,FALSE,None
Stentor,Downward swimming,F:\GravitMachineTracks_Oct2019\Stentor_18_10_2019,track3,track001.csv,0,20,5,5,FALSE,None
Stentor,Downward swimming,F:\GravitMachineTracks_Oct2019\Stentor_18_10_2019,track4,track000.csv,0,0,5,5,FALSE,None
Stentor,Downward swimming,F:\GravitMachineTracks_Oct2019\Stentor_18_10_2019,track9,track000.csv,0,30,5,5,FALSE,None
Euglena,Downward swimming,F:/GravitMachineTracks_Oct2019/Euglena,track1,track000_0_0_analysis.csv,0,0,2,5,TRUE,None
Euglena,Downward swimming,F:/GravitMachineTracks_Oct2019/Euglena,track3,track000_0_0_analysis.csv,0,115,2,5,TRUE,None
Euglena,Downward swimming,F:/GravitMachineTracks_Oct2019/Euglena,track4,track000_0_0_analysis.csv,0,0,2,5,TRUE,None
Euglena,Downward swimming,F:/GravitMachineTracks_Oct2019/Euglena,track5,track002_0_0_analysis.csv,0,0,2,5,TRUE,None
Euglena,Downward swimming,F:/GravitMachineTracks_Oct2019/Euglena,track6,track000_0_0_analysis.csv,0,40,2,5,TRUE,None
Euglena,Downward swimming,F:/GravitMachineTracks_Oct2019/Euglena,track7,track002_0_0_analysis.csv,0,135,2,5,TRUE,None
Euglena,Downward swimming,F:/GravitMachineTracks_Oct2019/Euglena,track8,track000_0_0_analysis.csv,0,38,2,5,TRUE,None
Akashiwo,Downward swimming,H:\2019 Monterey Trip\GM_v2_Berg_DataBackup\2019_08_15,dino1,track000.csv,0,160,2,5,FALSE,1122.67
Akashiwo,Downward swimming,H:\2019 Monterey Trip\GM_v2_Berg_DataBackup\2019_08_15,dino1,track001.csv,0,60,2,5,FALSE,1122.67
Akashiwo,Downward swimming,H:\2019 Monterey Trip\GM_v2_Berg_DataBackup\2019_08_15,dino3,track000.csv,7,80,2,5,FALSE,1122.67
Akashiwo,Downward swimming,H:\2019 Monterey Trip\GM_v2_Berg_DataBackup\2019_08_15,dino3,track001.csv,0,90,2,5,FALSE,1122.67
Akashiwo,Downward swimming,H:\2019 Monterey Trip\GM_v2_Berg_DataBackup\2019_08_15,dino9,track000.csv,0,30,2,5,FALSE,1122.67
Akashiwo,Downward swimming,H:\2019 Monterey Trip\GM_v2_Berg_DataBackup\2019_08_15,dino15,track000.csv,0,0,3,5,FALSE,1122.67
